🥐  SNACKOH BAKERS — MASTER PRODUCT CATALOGUE,,,,,,,,,,,,,,
Ruaka • Banana • Muchatha • Joyland • Gachie • Ndenderu • Redhill  |  All prices in KES  |  Bulk cost = buying ingredients in commercial quantities,,,,,,,,,,,,,,
Product Name,Code,Category,Description (Website),"Selling
Price (KES)","Bulk Cost
of Prod (KES)","Gross
Margin %",Stock Unit,"Shelf Life
(days)",Allergens,"Dietary
Labels","Reorder
Level",Notes / Made On Order,Availability,"Key Ingredients
(Bulk Sourcing)"
White Tea,BEV-01,Breakfast,"Freshly brewed Kenya tea served with full-cream milk and a choice of sugar or honey. A warm, comforting classic.",KES 80,KES 18,77.5%,cup,Made on order,Dairy,Halal,100,Made on order; high-turnover item,All day,"Tea leaves (bulk ~KES 400/kg), fresh milk (KES 90/L bulk), sugar"
Black Tea,BEV-02,Breakfast,"Bold, unsweetened Kenyan black tea brewed from premium highland leaves — pure, aromatic and energising.",KES 60,KES 10,83.3%,cup,Made on order,None,"Halal, Vegan",100,Made on order,All day,"Tea leaves (bulk ~KES 400/kg), water"
Lemon Tea,BEV-03,Breakfast,Refreshing black tea brightened with fresh-squeezed lemon juice and a hint of honey. Light and zesty.,KES 90,KES 20,77.8%,cup,Made on order,None,"Halal, Vegan",80,Made on order; use fresh lemons,All day,"Tea leaves, fresh lemons (KES 8/pc bulk), honey"
Black Coffee,BEV-04,Breakfast,"Rich, full-bodied Kenyan Arabica brewed fresh — deep flavour, smooth finish, no milk or sugar added.",KES 100,KES 25,75.0%,cup,Made on order,None,"Halal, Vegan",80,Made on order; use locally roasted Kenyan beans,All day,"Coffee beans (bulk ~KES 800/kg), water"
White Coffee,BEV-05,Breakfast,"Smooth Kenyan coffee balanced with steamed full-cream milk — a silky, satisfying morning staple.",KES 120,KES 35,70.8%,cup,Made on order,Dairy,Halal,80,Made on order,All day,"Coffee beans, milk (KES 90/L bulk), sugar"
Cappuccino,BEV-06,Breakfast,"Espresso topped with velvety steamed milk and a generous dome of micro-foam — the Italian classic, Kenyan style.",KES 180,KES 55,69.4%,cup,Made on order,Dairy,Halal,60,Made on order; requires espresso machine,All day,"Espresso (coffee beans bulk), full-cream milk, sugar"
Latte,BEV-07,Breakfast,"A generous pour of espresso blended with creamy steamed milk — silky, mellow and endlessly satisfying.",KES 200,KES 60,70.0%,cup,Made on order,Dairy,Halal,60,Made on order; requires espresso machine,All day,"Espresso, whole milk (bulk KES 90/L), flavoured syrups optional"
Espresso,BEV-08,Breakfast,"A concentrated single shot of pure Kenyan Arabica espresso — bold, aromatic and incredibly rich.",KES 130,KES 30,76.9%,cup,Made on order,None,"Halal, Vegan",60,Made on order; requires espresso machine,All day,"Kenyan Arabica beans (bulk KES 800/kg), filtered water"
Hot Milk,BEV-09,Breakfast,"Warm, full-cream farm-fresh milk — plain and pure, perfect for children or paired with anything on our menu.",KES 80,KES 18,77.5%,cup,Made on order,Dairy,"Halal, Vegetarian",50,Made on order,Breakfast / all day,Fresh whole milk (bulk KES 90/L)
Mandazi,BRK-01,Breakfast,"Pillowy, lightly sweetened Kenyan doughnuts flavoured with cardamom and coconut — best enjoyed warm with chai.",KES 30,KES 8,73.3%,pcs,2,"Gluten, Dairy","Halal, Vegetarian",200,Batch-cook; display in warmer,Breakfast / Snack,"Wheat flour (bulk KES 75/kg), coconut milk, sugar, cardamom, oil"
